"Member.id","SEC","FEH","MT","SEX","AGE","EDU","HS","CHILD","CS","Affluence.Index","No..of.Brands","Brand.Runs","Total.Volume","No..of..Trans","Value","Brand.Runs.Trans","Vol.Tran","Avg..Price","Pur.Vol.No.Promo....","Pur.Vol.Promo.6..","Pur.Vol.Other.Promo..","Br..Cd..57..144","Br..Cd..55","Br..Cd..272","Br..Cd..286","Br..Cd..24","Br..Cd..481","Br..Cd..352","Br..Cd..5","Others.999","Pr.Cat.1","Pr.Cat.2","Pr.Cat.3","Pr.Cat.4","PropCat.5","PropCat.6","PropCat.7","PropCat.8","PropCat.9","PropCat.10","PropCat.11","PropCat.12","PropCat.13","PropCat.14","PropCat.15","probability","probability.1"
1017490,4,3,10,2,4,4,6,4,1,30,4,24,16275,42,1555.5,0.571428571,387.5,9.56,0.82,0.17,0.01,0.02,0,0,0,0,0.03,0,0,0.94,0.24,0.15,0,0.6,0.79,0,0.12,0,0.04,0.01,0.03,0,0,0,0.02,0.475793117214092,0
1020070,3,3,10,2,1,4,5,4,1,18,4,21,13875,61,1547.75,0.344262295,227.46,11.15,0.99,0.01,0,0.34,0.08,0,0,0,0,0.06,0,0.52,0.41,0.52,0.08,0,0.44,0,0.42,0,0.04,0,0,0,0,0.08,0.02,0.51411118086689,1
1020210,4,3,17,2,3,3,4,3,2,8,3,9,20675,26,1538,0.346153846,795.19,7.44,1,0,0,0.03,0,0,0,0,0.01,0,0,0.96,0.06,0.03,0,0.91,0.98,0.01,0,0,0,0,0.01,0,0,0,0,0.111168499805541,0
1024050,4,3,17,2,3,3,6,4,1,10,4,10,15450,28,1275.5,0.357142857,551.79,8.26,1,0,0,0.37,0.32,0,0,0,0,0.09,0,0.22,0,0.49,0.32,0.19,0.59,0,0.09,0,0,0,0,0,0,0.32,0,0.133166448290096,0
1024100,3,1,13,2,4,3,6,4,1,15,2,8,9150,25,917,0.32,366,10.02,1,0,0,0.39,0,0,0,0,0,0,0,0.61,0.03,0.68,0.08,0.21,0.63,0,0.05,0,0,0,0,0,0,0.08,0.24,0.372985532473383,0
1024120,4,3,10,2,4,3,5,1,2,13,4,19,16050,50,1518,0.38,321,9.46,1,0,0,0.18,0.19,0,0,0,0,0.27,0,0.36,0.08,0.65,0.19,0.07,0.42,0.02,0.29,0,0.07,0,0,0.01,0,0.19,0,0.317138366297058,0
1024220,4,3,10,2,4,3,4,4,0,11,7,28,19150,38,1914,0.736842105,503.95,9.99,0.89,0.05,0.06,0.08,0.11,0.09,0.09,0,0,0.03,0.02,0.56,0.09,0.62,0.11,0.18,0.49,0.02,0.07,0.12,0.03,0,0,0,0,0.11,0.16,0.375985846669948,0
1024400,4,3,10,2,4,1,6,2,0,4,4,13,14625,31,1395,0.419354839,471.77,9.54,1,0,0,0.61,0.19,0,0,0,0.03,0,0,0.17,0.03,0.7,0.19,0.07,0.71,0.03,0,0,0.03,0,0.03,0,0,0.19,0,0.282461122140864,0
1024630,4,3,17,2,3,4,5,2,1,14,3,12,14400,21,1308.5,0.571428571,685.71,9.09,0.92,0.08,0,0.35,0.06,0,0,0,0,0,0,0.58,0,0.54,0.06,0.4,0.86,0.03,0,0.05,0,0,0,0,0,0.06,0,0.172446359036261,0
1025070,3,0,0,0,2,0,0,5,0,0,2,4,675,4,123.5,1,168.75,18.3,0.33,0.67,0,0,0,0,0,0.11,0,0,0,0.89,1,0,0,0,0,0,0.22,0,0,0.33,0,0.33,0.11,0,0,0.0513414172032627,0
1025140,4,0,0,0,2,0,0,5,0,0,2,4,6400,8,368,0.5,800,5.75,0.58,0,0.42,0,0.94,0,0,0,0,0,0,0.06,0,0,0.94,0.06,0.06,0,0,0,0,0,0,0,0,0.94,0,0.0409831698309979,0
1025210,2,3,17,2,2,5,5,2,1,4,3,3,7550,26,434,0.115384615,290.38,5.75,0.96,0,0.04,0.01,0.97,0,0,0,0,0,0,0.01,0,0.01,0.97,0.01,0.03,0,0,0,0,0,0,0,0,0.97,0,0.196016853275553,0
1027040,4,3,10,2,3,4,7,4,1,11,3,4,32000,27,1864,0.148148148,1185.19,5.83,0.95,0.01,0.05,0,0.98,0,0,0,0.01,0,0,0.01,0.01,0.01,0.98,0,0,0,0,0,0,0,0.01,0,0,0.98,0,0.288898517595714,0
1027160,3,0,0,0,3,0,0,5,0,0,3,3,1600,4,111,0.75,400,6.94,1,0,0,0.19,0.75,0,0,0,0,0,0,0.06,0.06,0.19,0.75,0,0.19,0,0,0,0.06,0,0,0,0,0.75,0,0.0570517129578944,0
1027210,4,0,0,0,3,0,0,5,0,0,3,5,2825,5,300,1,565,10.62,1,0,0,0,0.53,0.32,0,0,0,0,0,0.15,0.15,0.32,0.53,0,0,0,0.08,0.32,0.07,0,0,0,0,0.53,0,0.045596773866858,0
1027390,3,3,10,2,3,5,4,3,0,18,3,41,16730,67,2156,0.611940299,249.7,12.89,0.97,0,0.03,0.16,0,0,0,0.03,0,0,0,0.82,0.44,0.34,0,0.22,0.41,0.04,0.1,0.27,0.04,0,0,0.04,0.03,0,0.08,0.481546690593907,0
1027480,4,1,4,2,4,4,7,4,0,9,2,3,10800,25,1141,0.12,432,10.56,1,0,0,0.89,0,0,0,0,0,0,0,0.11,0.02,0.98,0,0,0.98,0,0,0,0.02,0,0,0,0,0,0,0.245572664215977,0
1027540,3,3,10,2,2,3,2,4,1,11,2,16,12425,39,1322.5,0.41025641,318.59,10.64,0.99,0.01,0,0.68,0,0,0,0,0,0,0,0.32,0.15,0.8,0,0.04,0.85,0,0.01,0,0.14,0.01,0,0,0,0,0,0.295164061080761,0
1027580,4,3,10,2,2,4,6,3,1,13,3,13,10925,27,943,0.481481481,404.63,8.63,0.88,0.03,0.08,0.12,0,0,0,0,0,0.01,0,0.87,0,0.35,0,0.65,0.92,0,0.01,0.08,0,0,0,0,0,0,0,0.250283375353023,0
1027680,4,0,0,0,2,0,0,5,0,0,2,2,6050,8,381.5,0.25,756.25,6.31,1,0,0,0.13,0.87,0,0,0,0,0,0,0,0,0.13,0.87,0,0.13,0,0,0,0,0,0,0,0,0.87,0,0.0409831698309979,0
1027720,4,1,10,2,4,4,4,2,2,4,2,2,15100,24,865,0.083333333,629.17,5.73,1,0,0,0,0.95,0,0,0,0,0,0,0.05,0,0,0.95,0.05,0.05,0,0,0,0,0,0,0,0,0.95,0,0.192136653296667,0
1027750,4,3,10,2,2,1,5,3,1,9,3,13,7475,15,734.5,0.866666667,498.33,9.83,0.93,0,0.07,0.04,0,0,0,0,0.08,0,0,0.88,0.27,0.27,0,0.45,0.64,0.06,0.14,0,0.01,0.07,0.08,0,0,0,0,0.173187312280057,0
1027810,4,0,0,0,2,0,0,5,0,0,2,2,1050,5,74,0.4,210,7.05,1,0,0,0.29,0.71,0,0,0,0,0,0,0,0,0.29,0.71,0,0.29,0,0,0,0,0,0,0,0,0.71,0,0.0409831698309979,0
1027840,2,3,5,2,3,1,3,4,2,4,1,1,22050,23,1249.5,0.043478261,958.7,5.67,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0.277558386898617,0
1028020,4,3,16,2,2,4,5,2,0,5,2,3,18600,23,1046,0.130434783,808.7,5.62,0.95,0,0.05,0,0.94,0,0,0,0,0,0,0.07,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0.296370639152427,0
1028050,3,3,16,2,2,1,5,2,1,8,2,24,12475,40,1268.5,0.6,311.88,10.17,0.85,0.13,0.02,0,0.06,0,0,0,0,0,0,0.94,0.31,0.04,0.06,0.59,0.68,0.17,0.01,0.04,0.01,0,0,0,0,0.06,0.02,0.227101243066519,0
1028110,4,3,10,2,2,4,3,2,0,2,2,6,4800,24,360.5,0.25,200,7.51,0.96,0.04,0,0,0,0,0,0,0,0.08,0,0.92,0.04,0.08,0.04,0.83,0.83,0,0.08,0,0,0,0,0,0,0.04,0.04,0.289657463369391,0
1028230,4,2,10,2,4,3,4,2,1,10,2,6,10050,24,899,0.25,418.75,8.95,1,0,0,0,0.03,0,0,0,0,0,0,0.97,0,0,0.03,0.97,0.27,0,0,0.7,0,0,0,0,0,0.03,0,0.277002409599495,0
1030040,4,3,10,2,4,0,6,4,2,11,1,1,15000,23,850,0.043478261,652.17,5.67,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0.232257521519929,0
1030150,4,0,0,0,4,0,0,5,0,0,3,8,3325,8,278.5,1,415.63,8.38,1,0,0,0.34,0.54,0,0,0,0,0,0,0.12,0.07,0.39,0.54,0,0.34,0.12,0,0,0,0,0,0,0,0.54,0,0.0507700285477544,0
1030200,3,1,4,2,4,1,4,4,2,13,2,11,10325,19,674.25,0.578947368,543.42,6.53,0.98,0.02,0,0,0.03,0,0,0,0,0,0,0.97,0.04,0.86,0.03,0.07,0.09,0.02,0.02,0,0,0,0,0,0,0.03,0.84,0.195182043748982,0
1030280,4,3,10,2,1,1,6,1,2,6,3,10,15400,38,990,0.263157895,405.26,6.43,1,0,0,0,0.88,0,0,0.02,0,0,0,0.1,0.03,0.06,0.9,0,0.06,0,0.01,0,0.01,0,0,0,0.02,0.9,0,0.291095983306888,0
1030300,2,3,16,2,4,1,9,4,1,14,3,6,23500,28,1585,0.214285714,839.29,6.74,0.92,0,0.08,0,0.89,0,0,0,0,0,0.04,0.07,0.08,0.03,0.89,0,0,0.06,0.02,0,0,0.02,0,0,0,0.89,0,0.364331765311648,0
1034020,4,0,0,0,2,0,0,5,0,0,1,1,900,5,51,0.2,180,5.67,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0.0409831698309979,0
1034130,4,1,17,2,4,4,8,3,0,8,2,3,34200,24,2468,0.125,1425,7.22,1,0,0,0.02,0,0,0,0,0,0,0,0.98,0,0.02,0,0.98,1,0,0,0,0,0,0,0,0,0,0,0.121012678359711,0
1034220,3,3,10,2,4,4,4,4,1,11,5,7,9400,24,1119.5,0.291666667,391.67,11.91,0.95,0.05,0,0,0.08,0.05,0,0,0.67,0.02,0,0.18,0,0.88,0.12,0,0,0.11,0.05,0.05,0,0,0.67,0,0,0.12,0,0.367376532025613,0
1034350,4,0,0,0,3,0,0,5,0,0,3,7,3925,9,306,0.777777778,436.11,7.8,0.95,0.05,0,0.08,0.11,0,0,0,0,0,0,0.81,0.02,0.08,0.11,0.79,0.87,0,0,0,0,0,0,0.02,0,0.11,0,0.045596773866858,0
1035020,4,3,10,2,4,1,3,4,1,9,4,15,9800,23,941,0.652173913,426.09,9.6,1,0,0,0.14,0,0.02,0,0,0,0.54,0,0.3,0.06,0.73,0.02,0.18,0.36,0.01,0.54,0.07,0,0,0,0,0,0.02,0,0.236251200398274,0
1035100,4,0,0,0,3,0,0,5,0,0,1,1,4950,7,280.5,0.142857143,707.14,5.67,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0.045596773866858,0
1035150,3,1,4,2,4,7,9,2,1,37,5,25,19910,43,2865.5,0.581395349,463.02,14.39,0.96,0.01,0.03,0.12,0,0.01,0,0.02,0,0,0.07,0.78,0.62,0.38,0,0,0.13,0.21,0.2,0.21,0.01,0.02,0,0.03,0.02,0,0.16,0.528662845852805,1
1037050,4,3,10,2,4,1,5,1,2,10,3,4,21150,20,1326,0.2,1057.5,6.27,0.89,0,0.11,0,0.94,0.04,0,0,0,0,0,0.02,0,0.04,0.94,0.02,0.02,0,0,0.04,0,0,0,0,0,0.94,0,0.251321869204156,0
1037120,4,1,4,2,2,4,10,3,1,14,3,10,15875,22,1835,0.454545455,721.59,11.56,1,0,0,0.58,0,0,0,0,0.23,0,0,0.19,0.06,0.94,0,0,0.77,0,0,0,0,0,0.23,0,0,0,0,0.15253245329187,0
1037190,2,1,4,2,2,1,6,1,1,12,3,12,6825,18,468,0.666666667,379.17,6.86,0.99,0.01,0,0.06,0.57,0,0,0,0,0,0,0.37,0.04,0.21,0.57,0.18,0.23,0.01,0.02,0.02,0,0,0,0,0,0.57,0.14,0.199719316230899,0
1037220,4,3,17,2,1,4,15,1,1,37,5,33,26375,34,2696,0.970588235,775.74,10.22,0.8,0.19,0.01,0.14,0.03,0.03,0,0,0,0.01,0,0.8,0.2,0.71,0.03,0.06,0.74,0,0.04,0.11,0,0.04,0,0.01,0,0.03,0.03,0.420637451383828,0
1037250,3,3,10,2,4,1,4,4,1,7,2,2,16350,23,949.5,0.086956522,710.87,5.81,1,0,0,0,0.98,0,0,0,0,0,0,0.02,0,0.02,0.98,0,0,0.02,0,0,0,0,0,0,0,0.98,0,0.266528394171378,0
1037290,4,3,10,2,1,4,9,3,1,16,3,12,18275,31,2225.5,0.387096774,589.52,12.18,0.9,0.1,0,0.41,0,0,0,0,0.34,0,0,0.25,0.06,0.89,0,0.05,0.61,0,0,0,0,0,0.34,0.05,0,0,0,0.395781646754897,0
1037420,4,3,10,2,4,3,5,4,1,17,3,18,30350,41,2121.5,0.43902439,740.24,6.99,0.9,0.03,0.07,0,0.8,0,0,0,0,0,0,0.2,0.12,0.04,0.8,0.04,0.07,0.03,0,0.03,0.05,0.01,0,0,0,0.8,0.01,0.337814756508066,0
1037630,4,3,6,2,4,5,4,4,1,11,5,24,19000,28,1737,0.857142857,678.57,9.14,1,0,0,0.04,0.09,0.07,0,0,0,0.02,0,0.78,0.13,0.26,0.17,0.43,0.69,0,0.02,0.1,0,0.02,0,0,0,0.17,0,0.214738034112999,0
1037690,3,1,5,2,3,1,5,4,1,10,2,3,24950,25,1425,0.12,998,5.71,1,0,0,0,0.96,0,0,0,0,0,0,0.04,0,0,0.99,0.01,0.01,0.04,0,0,0,0,0,0,0,0.96,0,0.178531373755695,0
1037720,4,1,4,2,4,5,4,4,1,15,4,17,8975,25,867.5,0.68,359,9.67,0.95,0,0.05,0.28,0.27,0,0,0,0,0,0.13,0.33,0.13,0.54,0.33,0,0.28,0.37,0,0,0,0,0,0,0,0.33,0.02,0.23686468810035,0
1037850,4,3,10,1,4,5,3,4,1,16,6,23,20070,63,1830.85,0.365079365,318.57,9.12,0.94,0.06,0,0.01,0.07,0.01,0.07,0,0,0.19,0,0.64,0.18,0.41,0.12,0.29,0.4,0.04,0.37,0.01,0,0,0,0,0,0.11,0.06,0.482787402988924,0
1037890,4,3,15,1,2,4,8,3,1,7,4,19,19950,48,1526,0.395833333,415.63,7.65,0.97,0,0.03,0.05,0.8,0,0,0,0,0,0.05,0.11,0.09,0.11,0.8,0.01,0.07,0.09,0.01,0.01,0.01,0,0,0.02,0,0.8,0,0.490559495406218,0
1037940,4,3,10,2,3,3,5,4,1,13,5,4,20100,29,1210,0.137931034,693.1,6.02,1,0,0,0,0.96,0,0,0,0,0,0.01,0.04,0.01,0.04,0.96,0,0,0.01,0.04,0,0,0,0,0,0,0.96,0,0.282754452729109,0
1038000,2,3,10,2,4,1,4,4,1,5,3,6,11800,23,1216,0.260869565,513.04,10.31,1,0,0,0.87,0.05,0,0,0,0,0,0,0.08,0.03,0.92,0.05,0,0.92,0,0,0,0.03,0,0,0,0,0.05,0,0.310410901524964,0
1038080,3,2,10,2,4,4,5,1,1,17,6,28,11625,44,1366.75,0.636363636,264.2,11.76,1,0,0,0.11,0.08,0,0.03,0,0.1,0.01,0,0.67,0.42,0.49,0.08,0.01,0.38,0.06,0.38,0,0,0,0.1,0,0,0.08,0,0.405141362040903,0
1038110,4,2,16,2,4,1,2,4,1,6,3,7,10275,27,741,0.259259259,380.56,7.21,1,0,0,0,0.85,0,0,0,0,0,0.02,0.13,0.07,0,0.93,0,0,0.02,0,0,0,0,0,0.05,0,0.93,0,0.192337993097384,0
1040080,4,3,10,2,2,1,10,3,1,10,7,24,23325,50,1876.5,0.48,466.5,8.05,0.89,0.11,0,0.15,0.46,0.03,0.04,0,0,0.06,0.01,0.26,0.03,0.51,0.46,0,0.31,0.03,0.06,0.04,0,0,0,0,0,0.46,0.1,0.176452719899456,0
1040150,2,3,10,2,4,0,8,2,1,26,5,45,24325,73,2896,0.616438356,333.22,11.91,0.97,0.01,0.02,0.04,0.05,0.02,0,0,0,0.02,0,0.86,0.4,0.46,0.07,0.07,0.18,0.27,0.17,0.09,0.21,0,0,0,0,0.07,0,0.473248369215504,0
1040190,4,3,10,2,4,1,5,4,2,9,3,7,10475,27,871.5,0.259259259,387.96,8.32,1,0,0,0.3,0,0,0.06,0,0,0,0,0.65,0.01,0.35,0,0.64,1,0,0,0,0,0,0,0,0,0,0,0.239147927256956,0
1040250,4,2,10,2,4,4,6,4,1,15,2,3,14550,22,1439,0.136363636,661.36,9.89,1,0,0,0,0,0,0,0,0,0.91,0,0.09,0,0.93,0.07,0,0,0,0.93,0,0,0,0,0,0,0.07,0,0.326291896956685,0
1040340,4,3,10,2,4,4,2,4,0,4,4,16,9150,27,949,0.592592593,338.89,10.37,0.98,0.02,0,0.56,0.15,0.03,0,0,0,0,0,0.26,0.11,0.67,0.15,0.07,0.67,0,0,0.14,0.03,0,0,0,0,0.15,0.01,0.343719423270547,0
1040370,3,1,4,2,4,2,5,2,1,13,4,26,12050,39,1030.25,0.666666667,308.97,8.55,0.86,0.06,0.08,0,0.01,0.02,0,0,0.07,0,0,0.89,0.04,0.22,0.23,0.51,0.49,0.22,0.04,0.14,0.02,0,0.07,0,0,0.01,0,0.216943770768001,0
1044010,4,3,10,2,4,1,4,4,0,2,2,5,12925,25,764.5,0.2,517,5.91,0.95,0,0.05,0,0.87,0,0,0,0,0,0,0.13,0.01,0.03,0.96,0,0.03,0,0,0,0,0,0,0.01,0,0.96,0,0.259499182434991,0
1044140,4,1,4,2,3,4,5,4,1,7,3,12,5600,17,640.5,0.705882353,329.41,11.44,0.73,0.04,0.23,0.3,0.13,0,0,0,0,0,0,0.56,0.23,0.46,0.13,0.18,0.87,0,0,0,0,0,0,0,0,0.13,0,0.156656343068005,0
1044370,4,3,10,1,1,1,6,4,2,8,4,16,14850,32,1146.5,0.5,464.06,7.72,1,0,0,0.05,0.33,0,0.15,0,0,0,0,0.47,0.03,0.3,0.37,0.3,0.57,0.06,0,0,0,0,0,0,0,0.37,0,0.394560800923103,0
1045030,1,1,10,2,2,5,4,1,1,19,3,19,4650,25,619,0.76,186,13.31,0.89,0.1,0.02,0.25,0,0,0,0,0,0,0.03,0.72,0.46,0.54,0,0,0.4,0.31,0.19,0,0,0.1,0,0,0,0,0,0.296096934084152,0
1045060,4,3,10,2,4,1,2,2,0,1,3,6,2750,9,213.5,0.666666667,305.56,7.76,1,0,0,0,0.33,0.03,0,0,0,0,0,0.65,0.03,0.65,0.33,0,0,0.03,0,0.03,0,0,0,0,0,0.33,0.62,0.263067934607622,0
1045100,4,1,5,2,3,1,3,4,0,2,3,5,8250,26,573.5,0.192307692,317.31,6.95,0.95,0,0.05,0.19,0.75,0,0,0,0,0,0,0.06,0.01,0.24,0.75,0,0.24,0,0,0,0.01,0,0,0,0,0.75,0,0.158981497383364,0
1045120,3,3,10,2,4,5,6,1,1,22,3,17,21400,32,2648,0.53125,668.75,12.37,0.98,0.02,0,0,0.08,0,0.02,0,0,0,0,0.9,0.06,0.61,0.08,0.24,0.29,0.56,0.01,0,0,0,0,0.05,0,0.08,0,0.496763948352762,0
1047210,4,3,10,2,4,1,3,4,2,12,3,7,6825,25,515.5,0.28,273,7.55,1,0,0,0.13,0.22,0,0,0,0,0,0,0.65,0.01,0.15,0.22,0.62,0.77,0,0,0,0,0,0,0.01,0,0.22,0,0.260522047405202,0
1047220,3,3,10,2,4,1,4,1,1,6,3,4,6525,23,799.5,0.173913043,283.7,12.25,1,0,0,0,0.09,0,0,0,0.05,0,0,0.86,0,0.91,0.09,0,0,0.86,0,0,0,0,0.05,0,0,0.09,0,0.265228114912299,0
1047350,4,3,10,2,4,1,8,4,1,13,8,23,26250,65,2340,0.353846154,403.85,8.91,1,0,0,0.19,0.49,0.01,0,0.07,0.02,0.01,0.01,0.21,0.1,0.32,0.57,0.01,0.24,0.04,0.01,0.02,0.01,0,0.02,0,0.07,0.57,0.02,0.260756308323823,0
1047420,2,3,10,2,4,0,3,4,1,2,2,2,14350,25,818.5,0.08,574,5.7,0.96,0,0.04,0,0.99,0,0,0,0,0,0,0.01,0.01,0,0.99,0,0,0,0,0,0.01,0,0,0,0,0.99,0,0.266564194168513,0
1047610,4,3,8,2,4,3,2,4,0,11,3,15,7125,33,1196,0.454545455,215.91,16.79,0.79,0,0.21,0.01,0,0,0,0,0,0,0.08,0.9,0.92,0.07,0,0.01,0.05,0.91,0,0.01,0,0,0,0,0,0,0.03,0.528016009775042,1
1047650,4,0,0,0,3,0,0,5,0,0,2,4,1050,4,111,1,262.5,10.57,0.5,0,0.5,0.29,0,0,0,0,0,0,0,0.71,0.21,0.79,0,0,0.79,0,0.21,0,0,0,0,0,0,0,0,0.045596773866858,0
1047750,4,3,10,2,3,5,8,2,1,19,5,16,19650,46,1874.25,0.347826087,427.17,9.54,1,0,0,0.42,0.25,0,0.07,0,0.05,0,0,0.22,0.03,0.69,0.26,0.02,0.66,0.02,0,0,0,0,0.06,0,0,0.26,0,0.387833769736693,0
1047760,3,3,9,2,4,1,4,4,1,16,2,13,11450,24,1100.5,0.541666667,477.08,9.61,0.74,0.26,0,0,0,0.08,0,0,0,0,0,0.92,0.02,0.36,0,0.62,0.63,0,0,0.28,0.02,0,0,0.01,0,0,0.07,0.148775595219972,0
1047870,4,3,10,2,4,1,6,4,1,22,4,13,29350,35,3070.5,0.371428571,838.57,10.46,0.84,0,0.16,0.72,0.02,0,0,0,0,0.04,0,0.22,0,0.97,0.02,0,0.93,0,0.05,0,0,0,0,0,0,0.02,0,0.329463926653091,0
1047980,3,0,0,0,4,0,0,5,0,0,1,1,150,1,37,1,150,24.67,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.0634382203647465,0
1050050,4,3,10,2,3,3,6,4,1,19,4,10,15950,27,1031.5,0.37037037,590.74,6.47,0.86,0.02,0.12,0.02,0.79,0,0,0,0,0,0,0.19,0,0.14,0.79,0.07,0.14,0.04,0.02,0,0,0,0,0,0,0.79,0,0.328224709012384,0
1050210,2,1,15,2,4,5,3,4,1,15,6,20,10625,44,2190,0.454545455,241.48,20.61,1,0,0,0.07,0,0,0.03,0.32,0.01,0,0.04,0.53,0.84,0.16,0,0,0.11,0.14,0.08,0,0.06,0.01,0.01,0,0.58,0,0,0.595824463861013,1
1054110,3,3,17,2,2,4,8,2,2,14,4,20,25400,40,1950.5,0.5,635,7.68,0.94,0.06,0,0.19,0.37,0,0,0,0,0.02,0,0.42,0,0.42,0.37,0.21,0.59,0.01,0.02,0,0,0,0,0,0,0.37,0,0.193033244752664,0
1054270,4,3,10,2,2,4,2,4,2,5,2,5,9000,30,579.5,0.166666667,300,6.44,1,0,0,0,0.9,0,0,0,0,0,0,0.1,0.1,0,0.9,0,0,0,0.03,0,0.07,0,0,0,0,0.9,0,0.232443955959099,0
1054310,3,3,10,2,4,4,3,4,1,13,4,17,9300,31,1477.5,0.548387097,300,15.89,1,0,0,0.04,0,0.02,0,0,0,0,0.1,0.84,0.7,0.3,0,0,0.05,0.91,0,0.02,0,0.01,0,0,0,0,0,0.385012212338419,0
1055060,4,3,10,2,2,5,2,4,1,18,5,24,10550,48,1498,0.5,219.79,14.2,0.97,0,0.03,0.13,0,0.01,0,0.03,0,0,0.06,0.77,0.22,0.76,0,0.01,0.23,0.62,0,0.01,0,0,0,0.07,0.03,0,0.04,0.34589747061349,0
1055160,4,3,10,2,2,5,6,3,1,17,5,20,13075,45,1435.5,0.444444444,290.56,10.98,0.93,0.05,0.02,0.04,0,0,0.02,0,0,0.35,0.01,0.58,0.09,0.77,0.02,0.13,0.19,0.39,0.4,0,0,0,0,0,0,0.02,0,0.300643252810925,0
1055260,4,3,10,2,2,4,7,3,2,5,3,5,20125,25,1216,0.2,805,6.04,1,0,0,0,0.93,0,0,0,0,0,0,0.07,0.01,0.06,0.93,0,0,0.06,0,0,0,0,0,0,0,0.93,0,0.202915265389067,0
